CanonicalSMILES,CID
C1=CC(=C(C(=C1NS(=O)(=O)CCCF)F)C(=O)NC2=CN=C3C(=C2)C=CN3)Cl,58252025
C1=CC(=C(C(=C1NSC2=CSC=C2)F)C(=O)C3=CNC4=C3C=C(C=N4)Cl)F,143384294
C1=CC(=C(C(=C1NSCC(F)(F)F)F)C(=O)C2=CNC3=C2C=C(C=N3)C#N)F,144086878
C1=CC(=C(C(=C1NSCCC(F)(F)F)F)C(=O)C2=CNC3=C2C=C(C=N3)Br)F,144086949
C1=CC(=C(C=C1C(=O)C2=CNC3=C2C=C(C=N3)Br)N)Cl,106885002
C1=CC(=C(C=C1C(=O)C2=CNC3=NC=CC(=C23)Cl)F)Cl,107998394
C1=CC(=C(C=C1C(=O)C2=CNC3=NC=CC(=C23)Cl)F)F,115512610
C1=CC(=C(C=C1C(=O)C2=CNC3=NC=CC(=C23)Cl)F)N,115512803
C1=CC(=C(C=C1C(=O)C2=CNC3=NC=CC(=C23)Cl)N)Cl,115512787
C1=CC(=C(C=C1C(=O)C2=CNC3=NC=CC(=C23)Cl)N)F,115512800
C1=CC(=C(C=C1C2=CC3=C(NC=C3C(=O)C4=C(C=CC(=C4F)C(=O)N)F)N=C2)C(F)(F)F)Cl,87560604
C1=CC(=C(C=C1C2=CC3=C(NC=C3C(=O)C4=C(C=CC(=C4F)N)F)N=C2)C(F)(F)F)Cl,87560605
C1=CC(=C(C=C1C2=CC3=C(NC=C3C(=O)C4=C(C=CC(=C4F)N)F)N=C2)C(F)(F)F)F,87561023
C1=CC(=C(C=C1C2=CC3=C(NC=C3C(=O)C4=C(C=CC(=C4F)NS(=O)(=O)C5=C(C=CC(=C5)F)F)F)N=C2)C=N)N,58368903
C1=CC(=C(C=C1CC(=O)C2=CNC3=NC=CC(=C23)Cl)F)F,115512600
C1=CC(=C(C=C1Cl)F)C(=O)C2=CNC3=NC=CC(=C23)Cl,115512585
C1=CC(=C(C=C1Cl)N)C(=O)C2=C3C=CNC3=NC=C2,143609999
C1=CC(=C(C=C1Cl)N)C(=O)C2=CNC3=NC=CC(=C23)Cl,115512770
C1=CC(=C(C=C1F)C(=O)C2=CNC3=NC=CC(=C23)Cl)N,115512768
C1=CC(=C(C=C1F)F)C(=O)C2=CNC3=NC=CC(=C23)Cl,115512634
C1=CC(=C(C=C1F)F)CC(=O)C2=CNC3=C2C=CC(=N3)Cl,153835770
C1=CC(=C(C=C1F)F)CC(=O)C2=CNC3=NC=CC(=C23)Cl,115512716
C1=CC(=C(C=C1F)F)S(=O)(=O)NC2=C(C(=C(C=C2)F)C(=O)C3=CNC4=C3C=C(C=N4)C#N)F,66646895
C1=CC(=C(C=C1F)F)S(=O)(=O)NC2=C(C(=C(C=C2)F)C(=O)C3=CNC4=C3C=C(C=N4)Cl)F,58086413
C1=CC(=C(C=C1F)F)S(=O)(=O)NC2=C(C(=C(C=C2)F)C(=O)C3=CNC4=NC=CC(=C34)C#N)F,66646862
C1=CC(=C(C=C1F)F)S(=O)(=O)NC2=C(C(=C(C=C2)F)C(=O)C3=CNC4=NC=CC(=C34)Cl)F,66647143
C1=CC(=C(C=C1F)F)S(=O)(=O)NC2=C(C(=C(C=C2)F)C(=O)C3=CNC4=NC=NC=C34)F,57963271
C1=CC(=C(C=C1F)N)C(=O)C2=CNC3=NC=CC(=C23)Cl,104484951
C1=CC(=C(C=C1F)S(=O)(=O)NC2=C(C(=C(C=C2)F)C(=O)C3=CNC4=C3C(=NC=N4)Cl)F)F,53237287
C1=CC(=C(C=C1F)S(=O)(=O)NC2=C(C(=C(C=C2)F)C(=O)C3=CNC4=C3C=C(C=N4)Br)F)F,58368867
C1=CC(=C(C=C1F)S(=O)(=O)NC2=C(C(=C(C=C2)F)C(=O)C3=CNC4=C3C=C(C=N4)C#N)F)F,46893808
C1=CC(=C(C=C1F)S(=O)(=O)NC2=C(C(=C(C=C2)F)C(=O)C3=CNC4=C3C=C(C=N4)C5=C(C=NC=C5)F)F)F,53262441
C1=CC(=C(C=C1F)S(=O)(=O)NC2=C(C(=C(C=C2)F)C(=O)C3=CNC4=C3C=C(C=N4)C5=CC=NC=C5)F)F,53262439
C1=CC(=C(C=C1F)S(=O)(=O)NC2=C(C(=C(C=C2)F)C(=O)C3=CNC4=C3C=C(C=N4)C5=CN=CN=C5)F)F,53262493
C1=CC(=C(C=C1F)S(=O)(=O)NC2=C(C(=C(C=C2)F)C(=O)C3=CNC4=C3C=C(C=N4)Cl)F)F,59569625
C1=CC(=C(C=C1F)S(=O)(=O)NC2=C(C(=C(C=C2)F)C(=O)C3=CNC4=C3C=C(C=N4)I)F)F,58368769
C1=CC(=C(C=C1F)S(=O)(=O)NC2=C(C(=C(C=C2)F)C(=O)C3=CNC4=NC=C(C(=C34)Cl)C#N)F)F,67174012
C1=CC(=C(C=C1F)S(=O)(=O)NC2=C(C(=C(C=C2)F)C(=O)C3=CNC4=NC=C(C(=C34)Cl)CO)F)F,58316758
C1=CC(=C(C=C1F)S(=O)(=O)NC2=C(C(=C(C=C2)F)C(=O)C3=CNC4=NC=C(C(=C34)I)Cl)F)F,58316866
C1=CC(=C(C=C1F)S(=O)(=O)NC2=C(C(=C(C=C2)F)C(=O)C3=CNC4=NC=C(C(=C34)I)F)F)F,58316741
C1=CC(=C(C=C1F)S(=O)(=O)NC2=C(C(=C(C=C2)F)C(=O)C3=CNC4=NC=CC(=C34)C#N)F)F,49779111
